"Cohort_Year","scenario","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
1995,"Alt1",1124660.70245063,-2605.35904979885,-4663.08650672002,-8825.85579943714,-301.036217980419,-2636.49702419571
1995,"Alt2v1wTUCP",1177885.99822138,-2476.49742185199,-4497.35429279524,-4903.22580645161,-4625,-4550
1995,"Alt2v1woTUCP",1177802.7065279,-2477.30740073339,-4497.1875209257,-4903.22580645161,-4625,-4550
1995,"Alt2v2noTUCP",1176192.72062381,-2187.28482501065,-4501.48605207783,-4903.22580645161,-4266.63660094176,-4550
1995,"Alt2v3noTUCP",1170434.00769344,-2274.63579359351,-4507.73634673075,-4903.22580645161,-4625,-4395.63461342773
1995,"Alt3",1181145.60008174,6793.54788508487,-4306.17871332982,-5145.16129032258,5724.22174956264,3303.9441495114
1995,"Alt4",1137968.20341644,-2469.77016255329,-4485.9832422523,-4323.54838709677,-4508.62068965517,-4499.75554800183
1995,"EXP1",1992798.84178009,11466.5766901107,12017.9833736625,2126.59587789229,10536.327709029,6966.56063000932
1995,"EXP3",1854754.02291515,8993.79195931843,6720.47135259571,2290.72303371411,10197.2425032144,6433.08542156528
1995,"NAA",1190348.70926963,-2305.90787485524,-4485.48034616773,-4903.22580645161,-4035.86206896552,-3500
1996,"Alt1",611041.235307666,-4949.14736774259,-4864.08290640649,11079.1342040946,1691.35349183972,-4340.84633073843
1996,"Alt2v1wTUCP",663717.339396547,-4047.28087885995,-4505,10373.2871355891,859.329080547134,-4403.15110028647
1996,"Alt2v1woTUCP",663698.418134827,-4047.29183439461,-4505,10373.427163106,860.292144982938,-4408.58601751792
1996,"Alt2v2noTUCP",663544.523630306,-3840.73260861193,-4505,10375.828865983,857.291837330292,-4404.85712777242
1996,"Alt2v3noTUCP",664468.042744944,-3840.71108416774,-4505,10375.3100860155,831.701701110805,-4407.22880892923
1996,"Alt3",767615.870023662,1788.88586748809,-2711.64056024777,11586.1662349914,7450.26759904478,3229.59718044849
1996,"Alt4",616186.77585126,-4107.89283920271,-4505,11037.0816047001,1418.73794983185,-4398.53814173683
1996,"EXP1",606254.535642768,4640.56640583779,738.172196755943,24803.1895324281,11351.2665609695,5562.77925244134
1996,"EXP3",827254.512061268,3729.24096887894,643.798746778428,24549.28222692,10603.9898787105,5197.65127027368
1996,"NAA",670775.902846469,-1381.08393551469,-4854.35336178828,11157.9644745177,2770.23023483585,-3500
1997,"Alt1",756862.956871071,-3105.12636341929,-6881.73813572448,-9111.90776324236,8699.24264906814,1168.00055545608
1997,"Alt2v1wTUCP",783866.042115326,-3236.82922426126,-3772.58709241615,-4903.22580645161,3653.64528056483,-4550
1997,"Alt2v1woTUCP",783849.393142925,-3237.84203211791,-3772.60901110347,-4903.22580645161,3653.7873040154,-4550
1997,"Alt2v2noTUCP",784598.672822603,-3023.70466524114,-3772.48455409147,-4903.22580645161,3656.5938450304,-4550
1997,"Alt2v3noTUCP",784498.944553085,-3024.37338228664,-3772.49208323868,-4903.22580645161,3657.22064420569,-4550
1997,"Alt3",779431.651632386,450.803442595924,-1328.60870015355,-3642.05690937744,4647.82416898704,-2204.05889307251
1997,"Alt4",728933.254090143,-3234.77875131264,-3772.11846703237,-4323.54838709677,3670.30934177541,-4366.58603944474
1997,"EXP1",129682.297138217,2484.11127350991,-96.1307244135952,2239.65829689379,20997.7404418355,9935.80063199442
1997,"EXP3",592194.311480029,2583.48421248826,482.465082438839,1825.97127056172,19404.4844801448,9191.59192687897
1997,"NAA",787162.536407238,-2138.38922813686,-4578.9193236057,-4903.22580645161,3439.65576145488,-3500
1998,"Alt1",2125574.6574097,-181.240034854302,-2200.8918363557,-8538.86147628352,-3797.54284719777,-5807.63779697563
1998,"Alt2v1wTUCP",2114670.45236165,-1638.68089067727,-2254.05139499921,-4903.22580645161,-4625,-4550
1998,"Alt2v1woTUCP",2114592.03856466,-1638.49239781246,-2253.94315549416,-4903.22580645161,-4625,-4550
1998,"Alt2v2noTUCP",2112136.51366449,-1430.44752457038,-2252.27579276709,-4903.22580645161,-4625,-4550
1998,"Alt2v3noTUCP",2108088.32451384,-1430.24826092509,-2252.13875056927,-4903.22580645161,-4625,-4469.11140537632
1998,"Alt3",2268737.09313064,3487.83660177464,857.953717259133,-1296.79837480113,3086.04304563096,693.878277108668
1998,"Alt4",2118302.23779072,-1651.2133584764,-2242.98437952786,-4323.54838709677,-4517.85714285714,-4550
1998,"EXP1",3113705.87605672,9951.95821438786,14808.0975308177,1693.17377740512,6874.79232826329,3846.89368992846
1998,"EXP3",2848189.64403109,9514.20177029175,9101.48220331076,1782.6216217144,6870.36023010239,3353.93174920294
1998,"NAA",2108506.99981057,-1526.76918657849,-2338.59653875349,-4903.22580645161,-4020.71428571429,-3500
1999,"Alt1",668010.65909361,-4019.16280231171,-5960.53388426852,-8939.0283540224,-4575.72049662618,-6938.1782913896
1999,"Alt2v1wTUCP",710696.857560196,-3803.12566578079,-4505,-3762.8637061602,-4447.85385784571,-4025
1999,"Alt2v1woTUCP",710694.914096692,-3803.09590209217,-4505,-3763.05041684732,-4447.88624830441,-4025
1999,"Alt2v2noTUCP",712906.242153842,-3596.26891435463,-4505,-3744.18762697802,-4447.21573152389,-4025
1999,"Alt2v3noTUCP",714402.309310655,-3475.21153814136,-4505,-3734.85393280541,-4453.73798770693,-3942.28336546594
1999,"Alt3",730356.954497434,734.324140143094,-1727.86622377178,-1036.43998352681,-4120.4335852937,-5000
1999,"Alt4",656839.657593313,-3834.80487568514,-4505,-3897.00244668916,-4445.27391060796,-4025
1999,"EXP1",423102.607884088,2632.14013399676,607.900173144643,1236.45821266105,9623.05567696811,5576.93473801148
1999,"EXP3",681749.110700442,2125.33996654892,430.485121620667,1405.1697115083,8978.34116239533,5013.01118079729
1999,"NAA",742853.314670845,-2275.08194392961,-4666.7017669134,-3462.78804537846,-4160,-3500
2000,"Alt1",692646.589329813,-4168.5912139117,-6620.61908886968,-7662.29643800866,-9307.62350471708,-6705.15287444309
2000,"Alt2v1wTUCP",766932.758851603,-3831.06306102351,-4490,-4429.57459140881,-3580.35714285714,-3905
2000,"Alt2v1woTUCP",766930.013034823,-3830.80430010608,-4490,-4430.15554818142,-3580.35714285714,-3905
2000,"Alt2v2noTUCP",773776.826153063,-1991.6591777337,-4490,-4486.39895272639,-3580.35714285714,-1890.02473104957
2000,"Alt2v3noTUCP",771016.181738161,-1938.58738486894,-4490,-4348.43701578371,-3580.35714285714,-1784.13188798681
2000,"Alt3",687171.085113198,729.778662904733,-1312.3579098915,-3483.82967997488,-5000,-5000
2000,"Alt4",711337.592079707,-3977.5209566367,-4490,-3559.82887464717,-5267.85714285714,-3950
2000,"EXP1",239848.02715476,3130.70461288176,10.7260205862242,628.200657739619,1564.78523466398,1316.27052450081
2000,"EXP3",602252.39722365,2470.56833210425,-2.66805657969098,638.841059456825,1570.0653148271,1215.03202603869
2000,"NAA",790279.21903231,-1600.8991065175,-4999.99999999999,-4553.28927365348,-4316.42857142857,-4070
2001,"Alt1",478851.271588852,-2803.71509821165,-2993.08247686836,-9473.04238503889,-5991.16516002732,-5801.36480601784
2001,"Alt2v1wTUCP",491517.967956516,-2485.04585911195,-4280.48056569205,-4583.14516129032,-4030.35714285714,-3500
2001,"Alt2v1woTUCP",491599.406608217,-2484.91861712561,-4279.66524781107,-4583.14516129032,-4030.35714285714,-3500
2001,"Alt2v2noTUCP",495096.334596408,-2344.17494401216,-3633.61102835518,-4583.14516129032,-4030.35714285714,-1485.02473104957
2001,"Alt2v3noTUCP",492701.775854857,-2049.68691365576,-3650.59776918042,-4583.14516129032,-4030.35714285714,-1366.01683158249
2001,"Alt3",655400,-363.620520191067,-1186.36339043719,-2223.51554449478,-493.313972402026,-75.8067506095889
2001,"Alt4",478299.519201636,-2586.27533710849,-4296.64179692341,-4323.54838709677,-4400,-3500
2001,"EXP1",15909.303837421,537.050306420664,-616.976635241152,1401.14351992025,1112.4114933876,1246.12362502016
2001,"EXP3",386932.202421335,600.40195489295,-533.246832491364,1137.85776112051,770.79698460908,973.283156866099
2001,"NAA",533910.34087449,-2201.5230376373,-3382.51625141769,-4903.22580645161,-4143.92857142857,-3500
2002,"Alt1",578551.426083191,-2879.60262863788,-6222.38416064799,-9481.87261277573,-7748.80992450475,-6393.47515943684
2002,"Alt2v1wTUCP",568502.60530718,-2690.38097461712,-4475,-4827.01612903226,-3741.07142857143,-3500
2002,"Alt2v1woTUCP",568503.97952075,-2690.39124636023,-4475,-4827.01612903226,-3741.07142857143,-3500
2002,"Alt2v2noTUCP",574258.086596034,-2057.09573477402,-4475,-4827.01612903226,-3741.07142857143,-1428.21325414208
2002,"Alt2v3noTUCP",558395.597324813,-1907.98270896842,-4475,-4827.01612903226,-3741.07142857143,-1355.84291369968
2002,"Alt3",626187.5,-372.288910849185,-2009.32613247252,-2155.97549259548,-2088.53241319883,69.7940256112006
2002,"Alt4",569148.635034222,-2687.85550211987,-4475,-4323.54838709677,-4517.85714285714,-3500
2002,"EXP1",31036.8149802234,500.179695834642,-653.335724167025,1515.74481003802,1184.48702250593,1145.88696678169
2002,"EXP3",455466.810848411,413.067375615487,-554.281269147959,1269.94718503201,947.784665926329,926.034052494823
2002,"NAA",541675.573158123,-2321.84219133344,-5000,-4903.22580645161,-4020.71428571429,-3500
2003,"Alt1",658728.794293632,-3894.53774974537,-6351.00581487647,-9680.98987244503,-9141.85344221989,-9580.41946504974
2003,"Alt2v1wTUCP",741803.148524952,-2889.48959360635,-4490,-4816.85483870968,-4187.93103448276,-3575
2003,"Alt2v1woTUCP",741769.270865338,-2889.32172376923,-4490,-4816.85483870968,-4187.93103448276,-3575
2003,"Alt2v2noTUCP",734501.313184196,-1881.3974087148,-4490,-4816.85483870968,-4187.93103448276,-2982.36021501458
2003,"Alt2v3noTUCP",730009.481052792,-1808.31391563749,-4490,-4816.85483870968,-4187.93103448276,-2894.57913847037
2003,"Alt3",704875.014,-95.7845005832262,-858.418668417895,-3543.5793557026,-5000,-1468.18625142843
2003,"Alt4",674539.291847985,-2915.44325933854,-4490,-4323.54838709677,-4658.62068965517,-4025
2003,"EXP1",307369.660374278,1038.66651856889,-450.427414646484,1005.62362053224,2126.07138642153,1481.78152727998
2003,"EXP3",746498.56901557,581.458414674895,-522.795875408217,1050.66193899101,2146.2786926265,1154.83695457117
2003,"NAA",774115.607028361,-2179.72583910739,-5000,-4903.22580645161,-4160,-3500
2004,"Alt1",717389.25556749,-2925.60200167323,-7838.71585751468,-9253.01225255575,-7440.25747632353,-6714.21260264036
2004,"Alt2v1wTUCP",804980.900637495,-2650.68039134037,-4490,-4816.85483870968,-4030.35714285714,-3500
2004,"Alt2v1woTUCP",804026.737407287,-2651.18414662222,-4490,-4816.85483870968,-4030.35714285714,-3500
2004,"Alt2v2noTUCP",804463.282096487,-1510.31398357517,-4490,-4816.85483870968,-4030.35714285714,-1173.88884393223
2004,"Alt2v3noTUCP",800918.077480305,-1271.99790971961,-4490,-4816.85483870968,-4030.35714285714,-1173.88884393223
2004,"Alt3",747339.979904379,-362.674933074918,-1660.09238616152,-803.491442373259,-3074.01206728423,-5000
2004,"Alt4",735933.857219107,-2667.62338639493,-4490,-4323.54838709677,-4667.85714285714,-3500
2004,"EXP1",94261.5102641992,397.442905567995,-642.027001204738,2089.82305873999,3704.26346884497,6321.09795950453
2004,"EXP3",530609.490005985,427.223925164583,-510.806009992887,1726.53613104924,4120.62754960204,5791.00544999434
2004,"NAA",838149.449929849,-2455.14663619968,-4689.4333333128,-4903.22580645161,-4143.92857142857,-3500
2005,"Alt1",921673.718770756,-4473.09411845949,-6560.08183344079,-7606.73403495301,-4751.34029191939,-724.214184754131
2005,"Alt2v1wTUCP",908189.449973574,-3822.27269122737,-4850,-5145.16129032258,-4464.28571428571,-3465.47412474935
2005,"Alt2v1woTUCP",908189.725722649,-3822.14908596555,-4850,-5145.16129032258,-4464.28571428571,-3415.94067950003
2005,"Alt2v2noTUCP",908233.544066349,-3571.73573880448,-4850,-5145.16129032258,-4464.28571428571,-2018.58295867038
2005,"Alt2v3noTUCP",915762.916453226,-3485.4652215468,-4850,-5145.16129032258,-4464.28571428571,-1598.00956550809
2005,"Alt3",977562.5,-78.2647319771286,-654.314393663384,-1419.26991754424,2259.89556454285,4614.77681853233
2005,"Alt4",899765.220453714,-3835.94292585183,-4475,-4323.54838709677,-5000,-4235.6746796992
2005,"EXP1",1167497.49607223,8981.41799069204,6041.2395265635,4873.63609177901,4638.40697846121,7789.05188684732
2005,"EXP3",1289142.09959437,5763.85831086135,4504.01720121329,4700.77393010291,6006.3849899137,7953.24880377385
2005,"NAA",908285.79212099,-2169.48498343238,-5000,-4903.22580645161,-4464.28571428572,-1965.17007702344
2006,"Alt1",711949.5,2979.44102281666,-4260.59439555721,-7925.08472598558,-9358.94020158324,-4486.4559227664
2006,"Alt2v1wTUCP",758761.9986,2897.43595849644,-4216.04799409431,-5145.16129032258,-4030.35714285714,-3500
2006,"Alt2v1woTUCP",758761.9986,2897.67018191392,-4215.91246458387,-5145.16129032258,-4030.35714285714,-3500
2006,"Alt2v2noTUCP",758761.9986,3111.70310556297,-4215.57564893321,-5145.16129032258,-4030.35714285714,-1393.31635014096
2006,"Alt2v3noTUCP",758761.9986,3112.34893029653,-4215.30659949963,-5145.16129032258,-4005.01779765874,-1229.12978413401
2006,"Alt3",805303.566826037,10335.3687915558,-2455.17615004939,-1793.63349472448,-2031.7083604774,-642.265147172177
2006,"Alt4",711949.5,2909.62418794655,-4218.06760041709,-4783.22580645161,-4667.85714285714,-3500
2006,"EXP1",983762.301606336,17345.064317502,5196.38907155402,651.35636402826,1751.75501728222,1119.88364712305
2006,"EXP3",1117635.20589818,14052.9776372995,4619.62814978635,733.891818584165,1847.9980056897,961.200019880972
2006,"NAA",768845.331934,2884.33289375443,-4217.07220270142,-5145.16129032258,-4143.92857142857,-3500
2007,"Alt1",638719.834734941,-2606.45415583367,-7032.59996842209,-6344.32678651517,-7603.99738850656,-4885.52732733433
2007,"Alt2v1wTUCP",617226.342430105,-2605.02312418459,-4475,-2966.76624445316,-4040.51724137931,-3844.97471434387
2007,"Alt2v1woTUCP",617191.281072561,-2605.07231939558,-4475,-2960.46705745607,-4040.51724137931,-3844.92433609073
2007,"Alt2v2noTUCP",623274.679712391,-2217.24769615709,-4475,-3454.73489009136,-4040.51724137931,-2570.50880220207
2007,"Alt2v3noTUCP",622951.493457731,-2222.67198198967,-4475,-3439.03249035677,-4040.51724137931,-2418.92368073964
2007,"Alt3",647000,-474.349645939652,-1767.57648873619,-1199.66363634814,-90.0962867567049,-786.141047570807
2007,"Alt4",618849.521069695,-2604.5703538382,-4475,-3460.47344703046,-4658.62068965517,-3843.59977451226
2007,"EXP1",31378.9731488803,381.273047805244,-695.352854565651,1186.51960623801,1267.49751157376,746.084851752489
2007,"EXP3",445500,457.456321591397,-625.795578895294,1129.70820019885,1025.65647314254,572.266475736363
2007,"NAA",628884.178778925,-2317.90734721499,-5000,-3059.97390760894,-4159.99999999999,-3857.32918847919
2008,"Alt1",476500,-1837.03853168499,-5240.60766505751,-1848.98040789574,-9124.14350972276,-8740.75936441516
2008,"Alt2v1wTUCP",486154.307613039,-1910.17748992494,-4400,-3100.79887815635,-3808.03571428571,-3905
2008,"Alt2v1woTUCP",486158.571761097,-1910.19332530874,-4400,-3096.75379467946,-3808.03571428571,-3905
2008,"Alt2v2noTUCP",488952.222088564,-1739.7133915782,-3595.5577940371,-3099.73912740575,-3808.03571428571,-3860.55201612609
2008,"Alt2v3noTUCP",483171.239215136,-1432.5290450561,-3592.97169778895,-2703.30328997725,-3808.03571428571,-3781.34405585727
2008,"Alt3",655400,-613.674554790676,-3109.45240870819,-572.471168072226,-5000,-5000
2008,"Alt4",476500,-1877.62221422447,-4019.94643770597,-2277.11181329201,-5000,-3950
2008,"EXP1",25569.6581040225,191.772457325652,-697.86550974943,545.074168016813,1946.70542445299,1330.53165258229
2008,"EXP3",383500,215.272135006258,-713.883699061546,513.240978274253,1567.99789742327,766.731304352124
2008,"NAA",484334.425049372,-1820.02121188963,-5000,-2625.90362006799,-4415,-4070
2009,"Alt1",555724.99,-3063.92753402026,-5243.03123153877,-6634.9535700664,-9354.6773817273,-6086.47401108045
2009,"Alt2v1wTUCP",555724.99,-2854.23489022706,-4400,-2889.42015509429,-4030.35714285714,-3500
2009,"Alt2v1woTUCP",555724.99,-2854.34112171703,-4400,-2892.93625207583,-4030.35714285714,-3500
2009,"Alt2v2noTUCP",541975,-1611.62483909065,-4400,-3207.3197978362,-4030.35714285714,-1485.02473104957
2009,"Alt2v3noTUCP",528225.01,-1502.21823252389,-4400,-3197.25696486036,-4030.35714285714,-1339.93877129822
2009,"Alt3",717823.46,-82.6907480850655,-912.916500893339,-2171.74966533732,-5000,-391.901960332956
2009,"Alt4",555724.99,-2920.82701767362,-4400,-3206.70830015982,-4667.85714285714,-3500
2009,"EXP1",31332.2628165704,1047.42731482082,-384.090311338384,1061.11104695595,1899.89568967992,1691.95763523808
2009,"EXP3",538104.314269774,502.293125048528,-501.853273274836,976.046745590044,1534.18546366459,1119.32707645409
2009,"NAA",548850.01,-2308.17873931276,-4530.30964963819,-3462.92683176899,-4143.92857142857,-3500
2010,"Alt1",607646.868891587,-4462.54905403734,-5139.69500103057,-7585.80296003293,-3585.71301953266,2173.32266874906
2010,"Alt2v1wTUCP",643318.452264515,-3478.27041228747,-4475,-4903.22580645161,-4223.21428571429,2494.56463686911
2010,"Alt2v1woTUCP",643299.071994747,-3478.30761728052,-4475,-4903.22580645161,-4223.21428571429,2491.28898279376
2010,"Alt2v2noTUCP",638816.924278426,-2997.52192770821,-4475,-4903.22580645161,-4223.21428571429,3463.79706445081
2010,"Alt2v3noTUCP",605918.617510359,-2915.73048401058,-4475,-4903.22580645161,-4223.21428571429,3835.43911060247
2010,"Alt3",637985.538786947,82.8517067561569,-4194.26610045191,-909.618689708261,3207.5830631872,7676.48279296313
2010,"Alt4",648536.068869956,-3494.06682368224,-4475,-5019.94670378162,-4517.85714285714,2553.06460233514
2010,"EXP1",897903.835705098,2046.1776241416,2817.47470428054,6887.79981415732,5665.69842560983,12919.3595960221
2010,"EXP3",952036.528936572,1533.41518247575,1091.72001840327,6273.07762898598,7172.04215450493,12759.7262341386
2010,"NAA",634801.479025753,-1744.22423033915,-5000,-4903.22580645161,-2290.75058598573,2573.56845835868
2011,"Alt1",1353974.07281555,-4290.85677777541,-5926.23140317397,-6256.60728212909,-3650.03423007133,-6247.3884929652
2011,"Alt2v1wTUCP",1385436.76048473,-4319.6346674057,-5000,-5083.71296458858,-3196.03933361331,-3905
2011,"Alt2v1woTUCP",1385390.96044257,-4319.53019442554,-5000,-5083.3894147338,-3195.50047770024,-3905
2011,"Alt2v2noTUCP",1383961.662126,-4253.74763643133,-5000,-5571.72945432211,-3175.49256410004,-3860.55201612609
2011,"Alt2v3noTUCP",1387598.3543297,-4253.39254055245,-5000,-5572.13116318811,-3148.23350520191,-3695.29241775692
2011,"Alt3",1141492.03740165,4144.06152103338,-5000,-2497.52605621137,-1369.79762479062,-717.247561091219
2011,"Alt4",1402708.06734995,-4213.81344676142,-4505,-4875.14907537193,-2969.90733687998,-3950
2011,"EXP1",2140339.57326868,9066.71457869535,9127.16213361457,570.611280629196,804.207040860394,1392.19977558338
2011,"EXP3",2104733.07473296,7626.98385981888,5593.67146363645,691.821078545299,880.455357095355,1367.33991999963
2011,"NAA",1398815.52839466,-2725.97903870218,-5000,-5940.01981848848,-3652.84728401261,-4070
2012,"Alt1",576654.336741265,-3244.285628617,-6316.33418131108,-9441.69493695986,-5233.45748073918,-3348.18142419561
2012,"Alt2v1wTUCP",572359.486696893,-2912.62816547111,-4475,-4827.01612903226,-3875,-3500
2012,"Alt2v1woTUCP",572072.419551331,-2912.3189553807,-4475,-4827.01612903226,-3875,-3500
2012,"Alt2v2noTUCP",572916.777268415,-1672.97773812939,-4475,-4827.01612903226,-3875,-1516.68260381257
2012,"Alt2v3noTUCP",568543.678894798,-1642.96814984887,-4475,-4827.01612903226,-3850.31556285714,-1358.06217278182
2012,"Alt3",647000,-416.411187484965,-1189.34055951099,-4587.13869436658,-86.9278612853138,-755.8800365547
2012,"Alt4",572011.524163668,-2938.17968945149,-4475,-4323.54838709677,-4250,-3500
2012,"EXP1",50683.7381511693,574.720624589098,-656.271175897177,1655.03296531341,915.865794323522,748.011823981923
2012,"EXP3",445500,519.320866498134,-564.939429471875,1174.17611688468,614.13181178036,564.177514251265
2012,"NAA",596753.550010665,-2198.56635662985,-5000,-4903.22580645161,-4460,-3500
2013,"Alt1",481553.255401413,-2762.46370743949,-6007.32272376937,-2085.39942853388,-5340.83311035645,-5054.6161214747
2013,"Alt2v1wTUCP",476500,-1655.75389918774,-4400,-1483.77051786916,-3808.03571428571,-4325
2013,"Alt2v1woTUCP",476500,-1655.8716349734,-4400,-1586.9980919169,-3808.03571428571,-4325
2013,"Alt2v2noTUCP",476797.344723149,-2138.75653630712,-4400,-1292.69814430402,-3808.03571428571,-4280.55201612609
2013,"Alt2v3noTUCP",476797.488004349,-1334.63804290393,-4400,-1292.24014694851,-3808.03571428571,-4280.55201612609
2013,"Alt3",655400,-527.590154349418,-1297.29840727287,-493.984551800891,-4660.40937937279,-5000
2013,"Alt4",476500,-1653.96884638566,-4400,-1429.33326008675,-5000,-4775
2013,"EXP1",8976.54735393183,174.195279640536,-638.898503891769,26.8813540144393,1018.71939431406,946.619456912714
2013,"EXP3",383500,226.398322653246,-584.874925266782,103.314305095974,1029.90927841397,921.024331616846
2013,"NAA",476500,-1588.0224746933,-5000,-953.912943848491,-4113.88609589323,-4625
2014,"Alt1",337000,-1442.3842537809,-2172.05056211862,-6359.49487983311,-7358.52891534709,-1292.01698022552
2014,"Alt2v1wTUCP",276000,-1525.72785393951,-1459.05522593339,-4729.80239198193,-3982.14285714286,-2499.09254702349
2014,"Alt2v1woTUCP",337000,-1270.35183635256,-2421.64282191859,-4734.73714790727,-3982.14285714286,-1297.74841674613
2014,"Alt2v2noTUCP",337000,-1322.82853902986,-2384.64034915936,-4735.18855014117,-3982.14285714286,-1297.15551558789
2014,"Alt2v3noTUCP",337000,-1272.00564792189,-2453.43496373965,-4778.57860460915,-3982.14285714286,-1297.45997939842
2014,"Alt3",492000,-454.228619375396,-1536.25148459194,-1440.64548663469,-2121.12052320307,-1990.36856865184
2014,"Alt4",276000,-1488.80873258778,-1435.24682918906,-4364.05905483921,-5267.85714285714,-2283.58806007442
2014,"EXP1",0,86.568590785983,-748.818663668804,891.093274373441,876.067009200035,470.179479143505
2014,"EXP3",276000,239.9230711299,-725.172031788054,1025.19763508358,803.690804639679,471.696367445544
2014,"NAA",276000,-1409.24751534406,-1670.646639317,-4801.69092922208,-4316.42857142857,-2374.71250761453
2015,"Alt1",430000,-1468.18011555649,-1693.44750003558,-5384.02538592117,-1747.21342196723,-9035.25183231462
2015,"Alt2v1wTUCP",329391.545071837,-1114.58527654155,-1780.3025184024,-2784.69038519052,-3578.42227689381,-3905
2015,"Alt2v1woTUCP",430000,-1441.87958938271,-1605.6024825177,-4265.30513915819,-2892.10573475084,-3905
2015,"Alt2v2noTUCP",430000,-1416.96853874939,-1634.60864846515,-4526.45993700118,-2654.4706361741,-1890.02473104957
2015,"Alt2v3noTUCP",430000,-1443.80986847926,-1587.67054277861,-4138.65085043575,-2642.01953253548,-1890.02473104957
2015,"Alt3",492000,-613.01676303591,-1577.46792859194,-2367.12416890916,88.7768203223479,-5000
2015,"Alt4",317066.764113065,-1116.87231612368,-1718.02768458105,-2130.42118965024,-3858.20941888172,-3950
2015,"EXP1",0,-57.3880448846206,-985.426431643806,1058.45654777028,1098.79394445712,2729.31560233112
2015,"EXP3",276000,86.2183638879728,-955.357220561431,1184.16336647621,746.982087005721,1534.96219177158
2015,"NAA",317888.316606645,-1196.44447581631,-1934.1529784744,-3237.40568367371,-3247.84059123268,-4070
2016,"Alt1",595510.486643443,-2946.01245767894,-1607.93661425867,-8591.77328167401,15376.7991666213,-2440.01921406479
2016,"Alt2v1wTUCP",621018.392409779,-2817.94359494327,-4475,-4903.22580645161,13201.0269393834,-4101.82917411801
2016,"Alt2v1woTUCP",563832.753686022,-2816.34753041138,-4475,-4903.22580645161,13292.6910769927,-4550
2016,"Alt2v2noTUCP",558960.45312104,-2293.99824662095,-4475,-4903.22580645161,13162.9854268908,-3783.49200954132
2016,"Alt2v3noTUCP",565308.088319644,-2239.50538992031,-4475,-4903.22580645161,13154.5378964391,-3798.38795525935
2016,"Alt3",572869.161982335,-247.538116691499,-1692.81525303783,-2347.83985024584,19036.9450158665,3994.12705569728
2016,"Alt4",618094.493274781,-2829.24942535477,-4475,-4323.54838709677,13198.8858862657,-2999.1523273541
2016,"EXP1",74545.6243483041,974.886765480237,-597.179997701294,6215.16332126192,31352.0710788677,12432.9386204601
2016,"EXP3",491967.175257694,658.664381732698,-504.764087804671,3445.58241656988,29710.8082016457,11560.8333502784
2016,"NAA",600532.297723083,-2069.96035189962,-4999.99999999998,-4903.22580645161,14717.7261985833,-2645.78162520616
